"","gkschid","g1schid","g2schid","g3schid","gktchid","g1tchid","g2tchid","g3tchid","gkfreelunch","g1freelunch","g2freelunch","g3freelunch","gksurban","g1surban","g2surban","g3surban","gktyears","g1tyears","g2tyears","g3tyears","gender","race","g3tmathss","classtype"
"31",244774,244774,244774,244746,24477402,24477411,24477415,24474612,1,1,1,1,1,1,1,1,6,13,31,31,1,2,604,"1"
"32",244697,244697,244697,244697,24469704,24469709,24469716,24469720,1,1,1,1,1,1,1,1,22,7,6,5,1,2,559,"3"
"33",244697,244697,244697,244697,24469703,24469709,24469716,24469720,1,1,1,1,1,1,1,1,5,7,6,5,2,2,599,"3"
"34",244755,244776,244776,244776,24475506,24477612,24477617,24477621,1,1,2,1,1,1,1,1,16,6,4,12,2,2,648,"3"
"35",244755,244755,244755,244755,24475503,24475510,24475517,24475525,1,1,1,1,1,1,1,1,9,9,2,8,1,2,655,"1"
"36",244697,244697,244697,244697,24469702,24469706,24469713,24469721,1,1,1,1,1,1,1,1,1,26,4,29,1,2,594,"1"
"37",244839,244839,244839,244839,24483903,24483909,24483915,24483918,2,2,2,2,2,2,2,2,20,0,22,26,2,2,659,"2"
"38",244697,244697,244697,244697,24469704,24469709,24469716,24469720,1,1,1,1,1,1,1,1,22,7,6,5,2,2,582,"3"
"39",244708,244708,244708,244708,24470801,24470808,24470816,24470824,1,1,1,1,1,1,1,1,14,1,14,8,1,2,624,"1"
"40",244799,244799,244799,244799,24479902,24479908,24479913,24479918,1,1,1,1,2,2,2,2,13,23,32,24,1,2,655,"1"
"41",244839,244839,244839,244839,24483903,24483908,24483915,24483918,2,2,2,2,2,2,2,2,20,2,22,26,2,2,678,"2"
"42",244746,244746,244746,244746,24474601,24474604,24474607,24474611,1,1,1,1,1,1,1,1,17,1,12,2,2,2,610,"3"
"43",244774,244774,244774,244774,24477402,24477409,24477413,24477421,1,1,1,1,1,1,1,1,6,9,8,21,2,2,655,"1"
"44",244723,244723,244723,244723,24472304,24472307,24472317,24472323,1,1,1,1,1,1,1,1,6,33,5,26,1,2,536,"3"
"45",244780,244780,244780,244831,24478002,24478004,24478008,24483115,1,1,1,1,1,1,1,2,10,2,1,8,1,2,684,"2"
"46",244728,244728,244728,244728,24472803,24472806,24472810,24472813,1,1,1,1,1,1,1,1,15,3,30,22,2,2,608,"2"
"47",244776,244776,244776,244776,24477606,24477611,24477619,24477622,1,1,1,1,1,1,1,1,10,5,13,3,2,2,608,"3"
"48",244697,244697,244697,244697,24469705,24469706,24469713,24469721,1,1,1,1,1,1,1,1,14,26,4,29,2,2,593,"1"
"49",244780,244780,244780,244780,24478003,24478006,24478007,24478012,2,2,2,1,1,1,1,1,2,17,2,3,2,2,603,"1"
"50",244799,244799,244799,244799,24479904,24479906,24479910,24479915,1,1,1,1,2,2,2,2,6,3,4,19,2,2,639,"2"
"51",244776,244776,244776,244776,24477601,24477610,24477618,24477624,2,2,2,2,1,1,1,1,6,2,8,14,2,2,629,"1"
"52",244799,244799,244799,244799,24479901,24479905,24479911,24479916,1,2,2,1,2,2,2,2,10,4,28,22,2,2,622,"3"
"53",169219,169219,169219,169219,16921901,16921904,16921911,16921917,1,1,2,1,2,2,2,2,14,13,2,6,2,1,561,"1"
"54",216536,216537,216537,216537,21653601,21653703,21653710,21653713,2,2,2,2,3,3,3,3,2,13,6,8,2,1,568,"2"
"55",221574,221574,221574,221574,22157401,22157406,22157411,22157415,2,2,2,2,3,3,3,3,1,15,11,18,1,1,567,"1"
"56",228606,228606,228606,228606,22860604,22860608,22860609,22860613,2,2,2,2,3,3,3,3,14,13,10,30,1,1,672,"1"
"57",228606,228606,228606,228606,22860601,22860607,22860612,22860616,2,2,2,2,3,3,3,3,8,13,20,19,2,1,631,"3"
"58",216536,216537,216537,216537,21653605,21653704,21653707,21653723,1,1,1,1,3,3,3,3,1,0,20,28,2,1,591,"2"
"59",166203,166203,166203,166203,16620301,16620305,16620309,16620312,2,2,2,2,4,4,4,4,11,12,6,14,1,1,610,"1"
"60",234628,234628,234628,234628,23462804,23462806,23462815,23462820,1,1,1,1,3,3,3,3,10,8,16,6,1,1,559,"1"
"61",168214,168214,168214,168214,16821403,16821405,16821408,16821412,2,1,1,2,3,3,3,3,16,11,31,7,2,1,624,"2"
"62",168214,168214,168214,168214,16821401,16821404,16821410,16821414,2,2,2,2,3,3,3,3,6,13,14,18,1,1,614,"1"
"63",264945,264945,264945,264945,26494501,26494507,26494511,26494517,2,2,2,2,2,2,2,2,17,6,1,16,1,1,678,"3"
"64",262937,262937,262937,262937,26293704,26293706,26293710,26293715,2,2,2,2,2,2,2,2,8,20,19,13,1,1,659,"1"
"65",215533,215533,215533,215533,21553304,21553309,21553313,21553321,2,2,2,2,3,3,3,3,9,16,8,5,1,1,667,"3"
"66",221574,221574,221574,221574,22157402,22157408,22157412,22157416,2,2,2,2,3,3,3,3,8,11,6,7,1,1,567,"3"
"67",164198,164198,164198,164198,16419801,16419805,16419809,16419813,2,1,1,1,3,3,3,3,13,12,6,16,1,1,608,"3"
"68",216536,216537,216537,216537,21653603,21653706,21653712,21653715,2,2,2,2,3,3,3,3,8,14,6,2,1,1,596,"1"
"69",221574,221574,221574,221574,22157401,22157407,22157409,22157413,2,2,2,2,3,3,3,3,1,10,18,11,2,1,629,"1"
"70",189382,189382,189382,189382,18938202,18938207,18938209,18938214,2,2,2,2,2,2,2,2,15,18,12,22,1,1,608,"2"
"71",203452,203452,203452,203452,20345203,20345207,20345211,20345217,1,1,1,1,3,3,3,3,19,7,32,17,1,1,601,"1"
"72",215533,215533,215533,215533,21553302,21553307,21553318,21553324,2,2,2,2,3,3,3,3,15,7,18,21,2,1,651,"2"
"73",193422,193422,193422,193422,19342202,19342204,19342207,19342211,2,2,2,2,3,3,3,3,8,13,15,17,1,1,678,"1"
"74",209510,209510,209510,209510,20951005,20951011,20951016,20951022,2,2,2,2,3,3,3,3,15,4,1,1,1,1,639,"1"
"75",228606,228606,228606,228606,22860602,22860605,22860610,22860614,2,2,2,2,3,3,3,3,13,9,19,11,2,1,642,"2"
"76",162184,162184,162184,162184,16218404,16218408,16218412,16218416,1,1,1,1,3,3,3,3,2,19,12,3,1,1,568,"1"
"77",244776,244776,244776,244776,24477608,24477610,24477618,24477624,1,1,1,1,1,1,1,1,3,2,8,14,1,2,645,"1"
"78",257899,257899,257899,257899,25789901,25789907,25789912,25789916,1,1,1,1,3,3,3,3,13,15,13,15,2,1,588,"2"
"79",130085,130085,130085,130085,13008502,13008508,13008512,13008516,2,2,2,2,2,2,2,2,7,12,11,18,1,1,711,"1"
"80",164198,164198,164198,164198,16419802,16419806,16419807,16419810,2,2,2,2,3,3,3,3,12,8,33,12,2,1,639,"1"
"81",165199,165199,165199,165199,16519901,16519904,16519907,16519910,2,2,2,2,4,4,4,4,12,15,14,36,1,1,700,"1"
"82",165199,165199,165199,165199,16519901,16519904,16519907,16519910,2,2,2,2,4,4,4,4,12,15,14,36,1,1,691,"1"
"83",262937,262937,262937,262937,26293703,26293706,26293712,26293717,2,2,2,2,2,2,2,2,18,20,15,5,1,1,659,"1"
"84",264945,264945,264945,264945,26494504,26494509,26494512,26494518,2,2,2,2,2,2,2,2,5,9,9,6,1,1,606,"1"
"85",201449,201449,201449,201449,20144902,20144911,20144919,20144925,2,2,2,2,3,3,3,3,12,16,8,15,1,1,642,"3"
"86",218562,218562,218562,218562,21856203,21856205,21856210,21856214,2,2,2,2,4,4,4,4,11,5,9,13,2,1,597,"1"
"87",201449,201449,201449,201449,20144901,20144908,20144914,20144921,2,2,2,2,3,3,3,3,4,7,3,1,1,1,648,"1"
"88",128076,128076,128076,128076,12807601,12807606,12807609,12807614,2,2,2,2,2,2,2,2,0,0,14,18,1,1,711,"1"
"89",205491,205491,205491,205491,20549104,20549107,20549110,20549114,2,2,2,2,2,2,2,2,17,18,10,22,2,1,574,"3"
"90",215533,215533,215533,215533,21553304,21553309,21553313,21553320,2,2,2,2,3,3,3,3,9,16,8,0,2,1,663,"3"
"91",215533,215533,215533,215533,21553302,21553310,21553318,21553323,1,1,1,1,3,3,3,3,15,13,18,24,1,2,594,"2"
"92",215533,215533,215533,215533,21553301,21553309,21553319,21553321,2,2,2,2,3,3,3,3,3,16,31,5,2,1,610,"3"
"93",193422,193422,193422,193422,19342202,19342204,19342207,19342211,2,2,2,2,3,3,3,3,8,13,15,17,1,1,663,"1"
"94",259915,259915,259915,259915,25991501,25991505,25991510,25991515,2,2,2,2,3,3,3,3,11,4,35,2,1,1,620,"1"
"95",193422,193422,193422,193422,19342201,19342205,19342208,19342213,2,1,2,1,3,3,3,3,9,11,7,17,1,1,597,"3"
"96",209510,209510,209510,209510,20951002,20951006,20951014,20951019,2,2,2,2,3,3,3,3,3,4,14,13,2,1,614,"3"
"97",130085,130085,130085,130085,13008504,13008508,13008512,13008516,2,2,2,2,2,2,2,2,11,12,11,18,1,1,691,"1"
"98",257905,257905,257905,257905,25790506,25790513,25790520,25790527,1,1,1,1,4,4,4,4,8,20,15,7,2,1,631,"2"
"99",261927,261927,261927,261927,26192701,26192705,26192710,26192714,2,2,2,2,3,3,3,3,11,18,33,7,1,1,700,"3"
"100",168214,168214,168214,168214,16821402,16821406,16821409,16821413,2,1,2,2,3,3,3,3,6,16,8,12,2,1,629,"3"
"101",168211,168211,168214,168211,16821102,16821108,16821409,16821117,2,2,2,2,3,3,3,3,27,13,8,14,1,1,612,"3"
"102",168211,168211,168211,168211,16821104,16821106,16821113,16821120,1,2,2,2,3,3,3,3,8,5,2,17,2,1,642,"1"
"103",234628,234628,234628,234628,23462804,23462806,23462815,23462820,2,2,2,2,3,3,3,3,10,8,16,6,2,1,691,"1"
"104",262937,262937,262937,262937,26293704,26293706,26293712,26293717,2,2,2,2,2,2,2,2,8,20,15,5,2,1,672,"1"
"105",201449,201449,201449,201449,20144906,20144908,20144915,20144922,2,2,2,2,3,3,3,3,7,7,20,20,1,1,651,"1"
"106",262937,262937,262937,262937,26293704,26293708,26293712,26293717,2,2,2,2,2,2,2,2,8,18,15,5,1,1,691,"1"
"107",221574,221574,221574,221574,22157401,22157407,22157409,22157413,1,1,1,2,3,3,3,3,1,10,18,11,1,2,622,"1"
"108",208503,208503,208503,208503,20850302,20850304,20850309,20850314,2,2,2,2,3,3,3,3,8,3,12,14,1,1,691,"1"
"109",189378,189378,189378,189378,18937801,18937808,18937812,18937816,2,2,2,2,3,3,3,3,17,6,12,14,2,1,636,"2"
"110",189378,189378,189378,189378,18937804,18937805,18937809,18937814,1,2,2,2,3,3,3,3,12,2,15,14,2,1,636,"1"
"111",203452,203452,203452,203452,20345201,20345207,20345215,20345220,2,2,2,2,3,3,3,3,19,7,11,31,1,1,672,"1"
"112",205491,205491,205491,205491,20549102,20549105,20549111,20549115,2,2,2,2,2,2,2,2,15,16,10,6,1,1,614,"1"
"113",215533,215533,215533,215533,21553301,21553308,21553313,21553320,2,2,2,2,3,3,3,3,3,9,8,0,1,1,636,"3"
"114",221574,221574,221574,221574,22157402,22157408,22157412,22157416,2,2,2,2,3,3,3,3,8,11,6,7,1,1,645,"3"
"115",228606,228606,228606,228606,22860601,22860606,22860611,22860615,2,2,2,2,3,3,3,3,8,23,21,36,2,1,636,"3"
"116",228606,228606,228606,228606,22860602,22860605,22860610,22860614,2,2,2,2,3,3,3,3,13,9,19,11,2,1,639,"2"
"117",169229,169229,169229,169229,16922901,16922909,16922927,16922935,2,2,2,2,2,2,2,2,15,9,8,17,1,1,659,"1"
"118",257899,257899,257899,257899,25789901,25789907,25789915,25789918,2,2,2,2,3,3,3,3,13,15,10,22,1,1,620,"2"
"119",259915,259915,259915,259915,25991503,25991506,25991509,25991513,2,2,2,2,3,3,3,3,5,12,2,1,1,1,626,"2"
"120",221574,221574,221574,221574,22157401,22157406,22157409,22157413,1,1,1,1,3,3,3,3,1,15,18,11,1,1,648,"1"
"121",234628,234628,234628,234628,23462805,23462808,23462816,23462821,2,2,2,2,3,3,3,3,8,23,23,21,1,2,620,"2"
"122",128076,128076,128076,128076,12807603,12807605,12807608,12807613,2,2,2,2,2,2,2,2,7,29,33,2,1,1,570,"3"
"123",128076,128076,128076,128076,12807603,12807605,12807608,12807613,2,2,2,2,2,2,2,2,7,29,33,2,2,1,622,"3"
"124",257899,257899,257899,257899,25789901,25789906,25789915,25789918,2,2,2,2,3,3,3,3,13,9,10,22,1,1,651,"2"
"125",161183,161183,161183,161183,16118306,16118312,16118315,16118319,2,2,2,2,3,3,3,3,16,12,14,10,1,1,620,"1"
"126",161176,161176,161176,161176,16117603,16117605,16117610,16117614,2,1,2,2,3,3,3,3,6,4,22,14,1,1,626,"2"
"127",161183,161183,161183,161183,16118306,16118312,16118315,16118319,2,2,2,2,3,3,3,3,16,12,14,10,1,1,599,"1"
"128",164198,164198,164198,164198,16419802,16419806,16419807,16419810,1,1,2,1,3,3,3,3,12,8,33,12,1,1,585,"1"
"129",165199,165199,165199,165199,16519903,16519906,16519909,16519911,1,1,1,1,4,4,4,4,12,14,18,36,2,1,634,"3"
"130",168214,168214,168214,168214,16821401,16821404,16821410,16821414,2,2,2,2,3,3,3,3,6,13,14,18,1,1,603,"1"
"131",264945,264945,264945,264945,26494504,26494509,26494512,26494518,2,2,2,2,2,2,2,2,5,9,9,6,1,1,678,"1"
"132",169280,169280,169280,169280,16928003,16928007,16928009,16928013,2,2,2,2,2,2,2,2,7,4,19,19,1,1,700,"3"
"133",169229,169229,169229,169229,16922905,16922908,16922921,16922936,2,2,2,2,2,2,2,2,10,14,16,9,1,1,700,"1"
"134",264945,264945,264945,264945,26494502,26494507,26494511,26494517,2,2,2,2,2,2,2,2,3,6,1,16,1,1,631,"3"
"135",264945,264945,264945,264945,26494501,26494508,26494511,26494517,1,1,2,2,2,2,2,2,17,27,1,16,2,2,622,"3"
"136",201449,201449,201449,201449,20144901,20144909,20144915,20144922,2,2,2,2,3,3,3,3,4,15,20,20,1,1,726,"1"
"137",169229,169229,169229,169229,16922907,16922915,16922926,16922939,2,2,2,2,2,2,2,2,12,6,21,32,1,1,639,"3"
"138",169229,169229,169229,169229,16922907,16922915,16922926,16922939,2,2,2,2,2,2,2,2,12,6,21,32,1,1,599,"3"
"139",264945,264945,264945,264945,26494501,26494508,26494516,26494522,2,2,2,2,2,2,2,2,17,27,9,8,1,1,582,"3"
"140",169231,169231,169231,169231,16923102,16923104,16923109,16923113,2,2,2,2,1,1,1,1,9,2,1,5,2,2,593,"1"
"141",262937,262937,262937,262937,26293703,26293708,26293710,26293715,2,2,2,2,2,2,2,2,18,18,19,13,2,1,684,"1"
"142",169229,169229,169229,169229,16922904,16922918,16922925,16922938,2,2,2,2,2,2,2,2,5,4,9,15,2,1,667,"3"
"143",264945,264945,264945,264945,26494504,26494509,26494512,26494518,2,2,2,2,2,2,2,2,5,9,9,6,1,1,614,"1"
"144",169229,169229,169229,169229,16922906,16922908,16922921,16922936,2,2,2,2,2,2,2,2,16,14,16,9,1,1,612,"1"
"145",201449,201449,201449,201449,20144901,20144907,20144914,20144921,2,2,2,2,3,3,3,3,4,8,3,1,2,1,645,"1"
"146",201449,201449,201449,201449,20144905,20144912,20144917,20144924,2,2,2,2,3,3,3,3,10,21,15,9,1,1,593,"2"
"147",173312,173312,173312,173312,17331202,17331205,17331210,17331213,2,2,2,2,3,3,3,3,11,11,13,37,2,1,667,"2"
"148",257899,257899,257899,257899,25789901,25789907,25789915,25789918,2,2,2,2,3,3,3,3,13,15,10,22,1,1,648,"2"
"149",203457,203457,203457,203457,20345703,20345706,20345707,20345711,2,2,2,2,3,3,3,3,15,13,11,4,2,1,648,"1"
"150",203452,203452,203452,203452,20345201,20345208,20345215,20345220,2,2,2,2,3,3,3,3,19,1,11,31,2,1,667,"1"
"151",191411,191411,191411,191411,19141101,19141104,19141107,19141110,1,1,1,2,3,3,3,3,8,1,8,9,2,1,642,"1"
"152",203457,203457,203457,203457,20345701,20345704,20345708,20345712,2,2,2,2,3,3,3,3,12,8,9,24,2,1,678,"2"
"153",191411,191411,191411,191411,19141101,19141104,19141107,19141110,2,2,1,1,3,3,3,3,8,1,8,9,2,1,624,"1"
"154",189382,189382,189382,189382,18938201,18938205,18938210,18938213,2,2,2,2,2,2,2,2,17,19,17,17,2,1,700,"1"
"155",189396,189396,189396,189396,18939601,18939604,18939608,18939613,2,2,2,2,3,3,3,3,5,13,21,3,1,1,651,"1"
"156",189396,189396,189396,189396,18939602,18939606,18939609,18939612,2,2,2,2,3,3,3,3,4,20,18,17,2,1,606,"2"
"157",191411,191411,191411,191411,19141103,19141106,19141109,19141112,1,1,1,1,3,3,3,3,13,19,14,3,2,1,610,"2"
"158",170295,170295,170295,170295,17029502,17029505,17029509,17029513,1,1,2,1,3,3,3,3,14,1,8,19,2,1,629,"3"
"159",170295,170295,170295,170295,17029502,17029505,17029509,17029513,1,1,1,1,3,3,3,3,14,1,8,19,1,1,588,"3"
"160",201449,201449,201449,201449,20144903,20144913,20144917,20144924,2,2,1,2,3,3,3,3,6,42,15,9,1,1,629,"2"
"161",201449,201449,201449,201449,20144906,20144909,20144915,20144922,2,2,2,2,3,3,3,3,7,15,20,20,1,1,629,"1"
"162",205492,205492,205492,205492,20549202,20549207,20549210,20549215,1,1,1,1,2,2,2,2,3,1,12,7,1,2,568,"1"
"163",128076,128076,128076,128076,12807602,12807607,12807611,12807615,2,2,2,2,2,2,2,2,8,8,22,15,2,1,648,"2"
"164",212522,212522,212522,212522,21252201,21252210,21252211,21252216,1,1,1,1,4,4,4,4,10,0,12,31,2,1,559,"3"
"165",212522,212522,212522,212522,21252202,21252209,21252214,21252219,2,1,1,1,4,4,4,4,13,7,30,9,2,1,629,"3"
"166",205491,205491,205491,205491,20549102,20549105,20549111,20549115,2,2,2,2,2,2,2,2,15,16,10,6,1,1,636,"1"
"167",212522,212522,212522,212522,21252201,21252210,21252211,21252216,1,1,1,1,4,4,4,4,4,0,12,31,2,1,648,"3"
"168",234628,234628,234628,234628,23462802,23462809,23462814,23462819,2,2,2,2,3,3,3,3,20,9,5,3,2,1,639,"3"
"169",208501,208501,208501,208501,20850104,20850105,20850112,20850116,1,1,1,1,3,3,3,3,5,16,18,12,1,1,645,"1"
"170",208503,208503,208503,208503,20850302,20850304,20850309,20850314,1,1,1,1,3,3,3,3,8,3,12,14,1,1,645,"1"
"171",208501,208501,208501,208501,20850102,20850106,20850109,20850113,2,2,2,2,3,3,3,3,12,21,14,9,1,1,603,"3"
"172",208501,208501,208501,208501,20850101,20850107,20850110,20850114,2,2,2,2,3,3,3,3,13,17,17,12,2,1,684,"2"
"173",209510,209510,209510,209510,20951004,20951011,20951016,20951022,2,2,2,2,3,3,3,3,10,4,1,1,1,1,597,"1"
"174",209510,209510,209510,209510,20951002,20951008,20951012,20951019,2,2,2,2,3,3,3,3,3,8,13,13,1,1,672,"3"
"175",212522,212522,212522,212522,21252203,21252207,21252215,21252220,1,1,1,1,4,4,4,4,21,14,28,13,1,2,555,"1"
"176",193423,193423,193423,193423,19342302,19342305,19342310,19342315,2,2,2,2,3,3,3,3,12,6,10,14,2,1,691,"1"
"177",215533,215533,215533,215533,21553304,21553309,21553319,21553321,2,2,2,2,3,3,3,3,9,16,31,5,1,1,624,"3"
"178",215533,215533,215533,215533,21553302,21553310,21553315,21553323,2,2,2,1,3,3,3,3,15,13,15,24,1,1,667,"2"
"179",193422,193422,193422,193422,19342201,19342205,19342208,19342213,2,2,2,2,3,3,3,3,9,11,7,17,2,1,582,"3"
"180",159171,159171,159171,159171,15917104,15917111,15917116,15917123,2,2,2,2,3,3,3,3,6,1,5,12,1,1,651,"1"
"181",215533,215533,215533,215533,21553305,21553311,21553316,21553325,1,1,1,2,3,3,3,3,4,26,4,5,2,1,634,"1"
"182",215533,215533,215533,215533,21553305,21553311,21553316,21553325,1,1,1,1,3,3,3,3,4,26,4,5,2,1,636,"1"
"183",230612,230612,230612,230612,23061203,23061204,23061207,23061210,2,2,2,2,3,3,3,3,6,8,19,0,2,1,678,"2"
"184",193423,193423,193423,193423,19342302,19342305,19342310,19342315,2,2,2,2,3,3,3,3,12,6,10,14,2,1,624,"1"
"185",159171,159171,159171,159171,15917102,15917110,15917117,15917122,1,1,1,1,3,3,3,3,8,7,0,3,2,1,659,"1"
"186",159171,159171,159171,159171,15917102,15917110,15917117,15917123,2,2,2,2,3,3,3,3,8,7,0,12,2,1,684,"1"
"187",193422,193422,193422,193422,19342202,19342204,19342207,19342211,2,2,2,2,3,3,3,3,8,13,15,17,1,1,655,"1"
"188",215533,215533,215533,215533,21553302,21553310,21553318,21553323,2,2,2,2,3,3,3,3,15,13,18,24,2,1,672,"2"
"189",193423,193423,193423,193423,19342303,19342307,19342314,19342318,2,2,2,2,3,3,3,3,12,17,9,9,2,1,711,"3"
"190",159171,159171,159171,159171,15917103,15917107,15917114,15917120,2,2,2,2,3,3,3,3,10,1,2,8,1,1,576,"2"
"191",159171,159171,159171,159171,15917101,15917106,15917112,15917118,1,2,2,2,3,3,3,3,10,9,23,19,1,1,626,"3"
"192",215533,215533,215533,215533,21553303,21553312,21553316,21553322,2,2,2,2,3,3,3,3,6,18,4,23,1,1,608,"1"
"193",225585,225585,225585,225585,22558504,22558505,22558509,22558513,2,2,2,2,3,3,3,3,13,3,11,4,1,1,659,"3"
"194",228606,228606,228606,228606,22860604,22860608,22860609,22860613,2,2,2,2,3,3,3,3,14,13,10,30,2,1,667,"1"
"195",228606,228606,228606,228606,22860601,22860607,22860612,22860616,2,2,2,2,3,3,3,3,8,13,20,19,1,1,634,"3"
"196",231616,231616,231616,231616,23161602,23161605,23161610,23161614,1,1,1,1,3,3,3,3,9,5,0,15,2,1,624,"1"
"197",231616,231616,231616,231616,23161601,23161604,23161608,23161612,2,2,2,2,3,3,3,3,12,39,9,16,2,1,659,"3"
"198",261927,261927,261927,261927,26192701,26192705,26192710,26192714,2,2,2,2,3,3,3,3,11,18,33,7,1,1,691,"3"
"199",261927,261927,261927,261927,26192704,26192708,26192712,26192715,2,2,2,2,3,3,3,3,11,16,11,19,2,1,614,"2"
"200",221571,221571,221571,221571,22157104,22157111,22157114,22157119,2,2,2,2,3,3,3,3,21,21,39,6,2,1,634,"1"
"201",244708,244708,244708,244708,24470805,24470812,24470813,24470821,1,1,1,1,1,1,1,1,2,10,14,33,1,2,582,"3"
"202",257899,257899,257899,257899,25789901,25789906,25789915,25789916,2,2,2,2,3,3,3,3,13,9,10,15,1,1,639,"2"
"203",216536,216537,216537,216537,21653603,21653706,21653712,21653715,2,2,2,2,3,3,3,3,8,14,6,2,1,1,626,"1"
"204",216536,216537,216537,216537,21653601,21653704,21653707,21653723,2,2,2,2,3,3,3,3,2,0,20,28,2,1,639,"2"
"205",257899,257899,257899,257899,25789903,25789910,25789914,25789919,1,1,2,1,3,3,3,3,8,14,17,19,2,1,610,"1"
"206",257905,257905,257905,257905,25790505,25790514,25790516,25790523,2,2,2,2,4,4,4,4,14,10,19,16,1,1,594,"3"
"207",257899,257899,257899,257899,25789904,25789907,25789912,25789918,2,2,2,2,3,3,3,3,12,15,13,22,2,1,612,"2"
"208",257899,257899,257899,257899,25789904,25789907,25789912,25789916,1,1,1,1,3,3,3,3,12,15,13,15,2,1,594,"2"
"209",253888,253888,253888,253888,25388803,25388806,25388809,25388812,1,2,2,1,3,3,3,3,5,10,25,2,2,1,648,"1"
"210",228606,228606,228606,228606,22860602,22860605,22860610,22860614,2,2,2,2,3,3,3,3,13,9,19,11,1,1,648,"2"
"211",261927,261927,261927,261927,26192703,26192709,26192713,26192717,2,2,2,2,3,3,3,3,3,17,17,13,1,1,626,"1"
